id,loss,hours,effort,gender,prog
1,18.02226347,1.836703542,37.71218433,1,1
2,10.1864161,2.389360188,26.72401476,1,1
3,19.74727553,2.362116791,36.31657283,1,1
4,1.883600143,2.52086572,20.7004757,1,1
5,14.24258864,1.889827666,24.72711748,1,1
6,19.69473057,2.367161891,33.66948321,1,1
7,11.7246702,1.949107964,31.39032768,1,1
8,22.0247335,2.206682735,39.71184648,1,1
9,8.180141463,2.512484494,27.62546419,1,1
10,5.028615981,2.170512167,19.15406788,1,1
11,17.80410435,2.015928988,38.37072433,1,1
12,16.26044312,2.212620882,33.65561797,1,1
13,6.978069671,1.85452118,24.13623501,1,1
14,11.98087867,2.244969442,30.46196585,1,1
15,13.67266539,1.665464152,26.16576687,1,1
16,15.52679561,2.556611438,34.74464748,1,1
17,13.48562696,2.100871236,36.3883663,1,1
18,4.474920311,1.336033903,25.2280273,1,1
19,9.47229805,1.432426557,23.25368036,1,1
20,7.448606388,2.238887607,29.95571335,1,1
21,11.21288973,2.49305416,34.39176553,1,1
22,8.382513517,1.863657214,25.3877601,1,1
23,13.28714885,2.428878799,34.61634082,1,1
24,12.0506537,1.520704335,29.88261036,1,1
25,7.170091896,1.43485331,30.23579748,1,1
26,14.79979909,2.225257342,31.98490502,1,1
27,6.600820391,1.363075456,30.31811492,1,1
28,11.36594786,1.834287042,31.30938152,1,1
29,7.488849326,1.877800222,33.52393998,1,1
30,10.07128506,2.708712968,32.12480037,1,1
31,21.91954862,2.229815056,35.13001449,1,1
32,10.97832564,2.039479289,27.01187716,1,1
33,8.433633614,1.959714853,32.02671589,1,1
34,9.174358868,1.835891815,29.65850433,1,1
35,15.84447684,1.766257821,26.40925774,1,1
36,11.94964001,1.000784944,29.50746406,1,1
37,13.00967528,1.86565959,24.76497026,1,1
38,16.60682791,1.736758718,34.98340117,1,1
39,13.11369231,2.477396286,35.34357447,1,1
40,5.99772217,1.907683682,27.68683796,1,1
41,12.66003644,2.566611211,29.32831334,1,1
42,10.04821927,2.558896756,29.11949614,1,1
43,6.761342126,2.29968755,25.35655028,1,1
44,14.8250966,2.020766522,32.2723065,1,1
45,18.0908656,2.194921374,32.06365916,1,1
46,5.068046623,1.856932002,27.64677892,1,1
47,6.835853242,1.905674805,24.35800013,1,1
48,2.931162894,0.864675741,29.88351049,1,1
49,19.73190337,2.701669383,29.73306854,1,1
50,0.192628323,1.956391034,19.7921834,1,1
51,15.71459124,1.457733776,37.15931799,1,1
52,5.554805424,1.986759502,22.0819144,1,1
53,-1.246788854,1.117538241,29.86124436,1,1
54,8.56256752,1.768066016,29.87508589,1,1
55,11.62768274,2.053212484,33.26178493,1,1
56,2.154387979,1.681851911,19.22168856,1,1
57,15.49346497,1.957242781,28.46855664,1,1
58,17.55136516,1.501148086,36.88834294,1,1
59,9.943101505,1.517399257,28.18477543,1,1
60,8.59428103,1.399858084,27.35939135,1,1
61,17.08228997,1.664998444,39.11672274,1,1
62,11.453814,2.584304019,27.47183801,1,1
63,21.56010146,2.145294112,41.58364749,1,1
64,22.5708634,2.628351282,40.84311094,1,1
65,10.23173052,2.596979457,25.05005837,1,1
66,0.588966095,2.079213409,19.69528843,1,1
67,11.04980252,2.15648794,26.33875825,1,1
68,15.7945578,2.840855889,31.86554769,1,1
69,4.142106076,1.862501626,27.71264724,1,1
70,25.60492106,2.24059797,33.78926551,1,1
71,16.99576672,2.128768127,31.98136225,1,1
72,12.07673229,1.709905787,28.24412276,1,1
73,0.89343488,2.751950456,19.40414301,1,1
74,12.14168351,2.94277753,31.48438723,1,1
75,9.862050015,1.728336002,32.79176091,1,1
76,2.981785604,2.508043541,24.83519026,1,1
77,14.36620345,1.527968327,32.60643415,1,1
78,18.96260536,2.420892728,42.50158879,1,1
79,3.309688383,2.552154451,25.85781631,1,1
80,5.177439695,2.10742639,27.12199798,1,1
81,8.385867793,1.534771789,28.61803768,1,1
